特征,重要性,重要性%
cluster_18,4.3663395368299025e-05,0.0
cluster_101,4.2559502855013e-05,0.0
cluster_179,4.247128601193144e-05,0.0
cluster_75,4.2283733459599596e-05,0.0
cluster_81,4.2219510421826486e-05,0.0
cluster_157,4.148904241859566e-05,0.0
cluster_72,4.11278344404378e-05,0.0
cluster_214,4.072085928984118e-05,0.0
cluster_87,4.0043120396595955e-05,0.0
cluster_40,3.981894658470875e-05,0.0
cluster_19,3.955965334723247e-05,0.0
cluster_58,3.837007664714578e-05,0.0
cluster_159,3.7755134292683826e-05,0.0
cluster_144,3.7343806329030703e-05,0.0
cluster_297,3.703958810462859e-05,0.0
cluster_79,3.688784441844262e-05,0.0
cluster_239,3.594039501612384e-05,0.0
cluster_227,3.541777597309199e-05,0.0
cluster_38,3.5208420505013316e-05,0.0
cluster_296,3.5205606054689594e-05,0.0
cluster_283,3.520349615212745e-05,0.0
cluster_65,3.4339310581377095e-05,0.0
cluster_7,3.2907272863499396e-05,0.0
cluster_151,3.285702638586933e-05,0.0
cluster_6,3.267603790747376e-05,0.0
cluster_16,3.240306572726742e-05,0.0
cluster_203,3.215998454380106e-05,0.0
cluster_208,3.207441984623382e-05,0.0
cluster_150,3.188037915065339e-05,0.0
cluster_178,3.0427989950132684e-05,0.0
cluster_115,3.0323576288728768e-05,0.0
cluster_82,3.015112558568405e-05,0.0
cluster_114,3.009621847113078e-05,0.0
cluster_274,3.0059573916954103e-05,0.0
cluster_35,2.9752777938132392e-05,0.0
cluster_96,2.9278867796380074e-05,0.0
cluster_108,2.91201719351776e-05,0.0
cluster_244,2.906913607512243e-05,0.0
cluster_84,2.9040448115551193e-05,0.0
cluster_3,2.8262218798932502e-05,0.0
cluster_10,2.808093075598091e-05,0.0
cluster_93,2.8010013449421404e-05,0.0
cluster_32,2.676489127598641e-05,0.0
cluster_43,2.6141199821067285e-05,0.0
cluster_209,2.597983977744471e-05,0.0
cluster_156,2.5738476883919093e-05,0.0
cluster_53,2.5599747060202887e-05,0.0
cluster_191,2.5548491466738498e-05,0.0
cluster_140,2.5155693219867345e-05,0.0
cluster_25,2.4820505981860658e-05,0.0
cluster_99,2.35321784804587e-05,0.0
cluster_173,2.3400065568956185e-05,0.0
cluster_163,2.319432362245354e-05,0.0
cluster_266,2.2966408032968355e-05,0.0
cluster_265,2.2924342994366175e-05,0.0
cluster_67,2.2602189048903913e-05,0.0
cluster_66,2.2520883647658393e-05,0.0
cluster_54,2.2384696367746298e-05,0.0
cluster_264,2.2353643219714834e-05,0.0
cluster_26,2.197497230362513e-05,0.0
cluster_64,2.1702221891475134e-05,0.0
cluster_34,2.1225063687539056e-05,0.0
cluster_183,2.0627213006775678e-05,0.0
cluster_90,2.0286189236697857e-05,0.0
cluster_109,1.9547287308292538e-05,0.0
cluster_63,1.9421726440026388e-05,0.0
cluster_8,1.930406929043574e-05,0.0
cluster_33,1.9275216966980282e-05,0.0
cluster_98,1.8636344332017535e-05,0.0
cluster_202,1.8505252279515942e-05,0.0
cluster_146,1.8419150159723703e-05,0.0
cluster_131,1.8419027906266983e-05,0.0
cluster_170,1.830834416056838e-05,0.0
cluster_28,1.8080355038282742e-05,0.0
cluster_175,1.7380430861605345e-05,0.0
cluster_70,1.7299602968798573e-05,0.0
cluster_147,1.7014748809866093e-05,0.0
cluster_5,1.6910222360435558e-05,0.0
cluster_86,1.6900003788890904e-05,0.0
cluster_103,1.6647532989648363e-05,0.0
cluster_190,1.640405788904059e-05,0.0
cluster_36,1.6047389211284882e-05,0.0
cluster_73,1.5633131385631833e-05,0.0
cluster_201,1.5603441859436216e-05,0.0
cluster_292,1.5535315025575975e-05,0.0
cluster_153,1.5406886710293893e-05,0.0
cluster_49,1.5365487170410403e-05,0.0
cluster_165,1.5296170624084408e-05,0.0
cluster_204,1.4920742108879605e-05,0.0
cluster_92,1.4817520161590266e-05,0.0
cluster_167,1.4741646279251225e-05,0.0
cluster_174,1.4621481236164917e-05,0.0
cluster_46,1.4486315666347558e-05,0.0
cluster_107,1.4358766336210942e-05,0.0
cluster_77,1.4041276492237783e-05,0.0
cluster_141,1.3923062623981562e-05,0.0
cluster_127,1.327737305403952e-05,0.0
cluster_282,1.3151202154323478e-05,0.0
cluster_44,1.2910257141609185e-05,0.0
cluster_139,1.2857918133975605e-05,0.0
cluster_61,1.2770563595899474e-05,0.0
cluster_68,1.227011485424643e-05,0.0
cluster_172,1.2200512012396597e-05,0.0
cluster_95,1.2083837945522697e-05,0.0
cluster_207,1.1973058286413169e-05,0.0
cluster_13,1.1808251314049831e-05,0.0
cluster_78,1.1715149195896208e-05,0.0
cluster_188,1.1486326307593133e-05,0.0
cluster_218,1.138541126615192e-05,0.0
cluster_89,1.1348229029205224e-05,0.0
cluster_145,1.1076384930392605e-05,0.0
cluster_74,1.1034627283557738e-05,0.0
cluster_91,1.0563679562380333e-05,0.0
cluster_112,1.0405639376098181e-05,0.0
cluster_134,1.0363352119423492e-05,0.0
